enzymes (mmol/g_(dw)/hr),0 min,50 min,100 min,150 min,200 min
Succinate transport out via proton antiport,,0.0,0.0,0.0,0.0
Isocitrate dehydrogenase (NADP),,4.195,4.195,4.195,4.195
Acetate exchange,,0.0,0.0,0.0,0.0
Succinate transport via proton symport (2 H),,0.0,0.0,0.0,0.0
Cytochrome oxidase bd (ubiquinol-8: 2 protons),,25.17,25.17,25.17,25.17
Transketolase,,0.0,0.0,0.0,0.0
Phosphoglycerate mutase,,-4.195,-4.195,-4.195,-4.195
CO2 transporter via diffusion,,-12.585,-12.585,-12.585,-12.585
Ribulose 5-phosphate 3-epimerase,,0.0,0.0,0.0,0.0
2-Oxogluterate dehydrogenase,,4.195,4.195,4.195,4.195
Succinate dehydrogenase (irreversible),,4.195,4.195,4.195,4.195
Enolase,,4.195,4.195,4.195,4.195
Glucose 6-phosphate dehydrogenase,,0.0,0.0,0.0,0.0
Phosphoenolpyruvate carboxykinase,,0.0,0.0,0.0,0.0
Ammonia reversible transport,,0.0,0.0,0.0,0.0
Pyruvate transport in via proton symport,,0.0,0.0,0.0,0.0
H2O transport via diffusion,,-12.585,-12.585,-12.585,-12.585
NAD(P) transhydrogenase,,56.63250000000001,56.63250000000001,56.63250000000001,56.63250000000001
Fructose-bisphosphatase,,0.0,0.0,0.0,0.0
Isocitrate lyase,,0.0,0.0,0.0,0.0
Fumarate reductase,,0.0,0.0,0.0,0.0
Pyruvate kinase,,2.0975,2.0975,2.0975,2.0975
Phosphogluconate dehydrogenase,,0.0,0.0,0.0,0.0
Phosphoglycerate kinase,,-4.195,-4.195,-4.195,-4.195
Triose-phosphate isomerase,,2.0975,2.0975,2.0975,2.0975
ATP maintenance requirement,,8.39,8.39,8.39,8.39
L-glutamine transport via ABC system,,0.0,0.0,0.0,0.0
Phosphate reversible transport via symport,,0.0,0.0,0.0,0.0
Fructose-bisphosphate aldolase,,2.0975,2.0975,2.0975,2.0975
NAD transhydrogenase,,60.82750000000001,60.82750000000001,60.82750000000001,60.82750000000001
Pyruvate dehydrogenase,,4.195,4.195,4.195,4.195
Biomass Objective Function with GAM,,0.0,0.0,0.0,0.0
Malic enzyme (NADP),,0.0,0.0,0.0,0.0
Glyceraldehyde-3-phosphate dehydrogenase,,4.195,4.195,4.195,4.195
Pyruvate exchange,,-0.0,-0.0,-0.0,-0.0
Formate transport via diffusion,,0.0,0.0,0.0,0.0
CO2 exchange,,12.585,12.585,12.585,12.585
Ribose-5-phosphate isomerase,,0.0,0.0,0.0,0.0
D lactate transport via proton symport,,0.0,0.0,0.0,0.0
Alcohol dehydrogenase (ethanol),,0.0,0.0,0.0,0.0
Phosphoenolpyruvate synthase,,0.0,0.0,0.0,0.0
Transaldolase,,0.0,0.0,0.0,0.0
Fumarate exchange,,-0.0,-0.0,-0.0,-0.0
Succinate exchange,,-0.0,-0.0,-0.0,-0.0
Malic enzyme (NAD),,0.0,0.0,0.0,0.0
H+ exchange,,-7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15
Adenylate kinase,,0.0,0.0,0.0,0.0
Acetaldehyde dehydrogenase (acetylating),,0.0,0.0,0.0,0.0
Malate transport via proton symport (2 H),,0.0,0.0,0.0,0.0
Malate synthase,,0.0,0.0,0.0,0.0
Glucose-6-phosphate isomerase,,2.0975,2.0975,2.0975,2.0975
6-phosphogluconolactonase,,0.0,0.0,0.0,0.0
L-Glutamine exchange,,-0.0,-0.0,-0.0,-0.0
